Calculation,Time,,,
1,2.02778E-05,,Mean:,2.42017E-05
2,2.39699E-05,,,
3,1.78588E-05,,,
4,1.93981E-05,,,
5,2.01273E-05,,,
6,2.64815E-05,,,
7,2.03241E-05,,,
8,1.80208E-05,,,
9,1.81944E-05,,,
10,1.75116E-05,,,
11,2.19329E-05,,,
12,1.7963E-05,,,
13,1.8669E-05,,,
14,1.77894E-05,,,
15,1.75579E-05,,,
16,1.75231E-05,,,
17,1.88542E-05,,,
18,2.65509E-05,,,
19,1.76157E-05,,,
20,1.88426E-05,,,
21,1.85185E-05,,,
22,1.79514E-05,,,
23,1.74537E-05,,,
24,1.75463E-05,,,
25,2.56829E-05,,,
26,1.78472E-05,,,
27,1.77315E-05,,,
28,1.80903E-05,,,
29,0.00002375,,,
30,1.78704E-05,,,
31,1.88773E-05,,,
32,1.78125E-05,,,
33,2.09722E-05,,,
34,1.76389E-05,,,
35,1.76042E-05,,,
36,2.64352E-05,,,
37,1.77199E-05,,,
38,1.76042E-05,,,
39,1.77083E-05,,,
40,2.27546E-05,,,
41,1.82755E-05,,,
42,1.79977E-05,,,
43,1.78472E-05,,,
44,1.79977E-05,,,
45,1.78125E-05,,,
46,1.76505E-05,,,
47,2.5463E-05,,,
48,1.81713E-05,,,
49,1.74074E-05,,,
50,1.7662E-05,,,
51,2.55903E-05,,,
52,1.77199E-05,,,
53,1.7581E-05,,,
54,1.82407E-05,,,
55,2.5463E-05,,,
56,1.7419E-05,,,
57,1.79282E-05,,,
58,1.85648E-05,,,
59,2.08912E-05,,,
60,1.87731E-05,,,
61,1.84722E-05,,,
62,1.74421E-05,,,
63,1.74769E-05,,,
64,1.79051E-05,,,
65,1.74537E-05,,,
66,1.75116E-05,,,
67,1.76157E-05,,,
68,1.79051E-05,,,
69,1.76273E-05,,,
70,1.75463E-05,,,
71,1.85648E-05,,,
72,1.83102E-05,,,
73,1.73611E-05,,,
74,1.74884E-05,,,
75,1.76157E-05,,,
76,1.76157E-05,,,
77,1.76042E-05,,,
78,1.76736E-05,,,
79,1.90625E-05,,,
80,1.77315E-05,,,
81,1.82755E-05,,,
82,1.79514E-05,,,
83,1.79282E-05,,,
84,1.7338E-05,,,
85,1.7419E-05,,,
86,1.78125E-05,,,
87,1.77199E-05,,,
88,1.83449E-05,,,
89,2.00463E-05,,,
90,1.86806E-05,,,
91,1.76505E-05,,,
92,1.76852E-05,,,
93,1.78704E-05,,,
94,1.75694E-05,,,
95,1.75694E-05,,,
96,1.77662E-05,,,
97,1.84375E-05,,,
98,1.73495E-05,,,
99,1.7662E-05,,,
100,1.79977E-05,,,
101,1.7419E-05,,,
102,1.77199E-05,,,
103,1.74769E-05,,,
104,1.87731E-05,,,
105,1.86574E-05,,,
106,1.74884E-05,,,
